"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","MM","Myanmar","SEARO",0,0,0,0
"2020-01-04","MM","Myanmar","SEARO",0,0,0,0
"2020-01-05","MM","Myanmar","SEARO",0,0,0,0
"2020-01-06","MM","Myanmar","SEARO",0,0,0,0
"2020-01-07","MM","Myanmar","SEARO",0,0,0,0
"2020-01-08","MM","Myanmar","SEARO",0,0,0,0
"2020-01-09","MM","Myanmar","SEARO",0,0,0,0
"2020-01-10","MM","Myanmar","SEARO",0,0,0,0
"2020-01-11","MM","Myanmar","SEARO",0,0,0,0
"2020-01-12","MM","Myanmar","SEARO",0,0,0,0
"2020-01-13","MM","Myanmar","SEARO",0,0,0,0
"2020-01-14","MM","Myanmar","SEARO",0,0,0,0
"2020-01-15","MM","Myanmar","SEARO",0,0,0,0
"2020-01-16","MM","Myanmar","SEARO",0,0,0,0
"2020-01-17","MM","Myanmar","SEARO",0,0,0,0
"2020-01-18","MM","Myanmar","SEARO",0,0,0,0
"2020-01-19","MM","Myanmar","SEARO",0,0,0,0
"2020-01-20","MM","Myanmar","SEARO",0,0,0,0
"2020-01-21","MM","Myanmar","SEARO",0,0,0,0
"2020-01-22","MM","Myanmar","SEARO",0,0,0,0
"2020-01-23","MM","Myanmar","SEARO",0,0,0,0
"2020-01-24","MM","Myanmar","SEARO",0,0,0,0
"2020-01-25","MM","Myanmar","SEARO",0,0,0,0
"2020-01-26","MM","Myanmar","SEARO",0,0,0,0
"2020-01-27","MM","Myanmar","SEARO",0,0,0,0
"2020-01-28","MM","Myanmar","SEARO",0,0,0,0
"2020-01-29","MM","Myanmar","SEARO",0,0,0,0
"2020-01-30","MM","Myanmar","SEARO",0,0,0,0
"2020-01-31","MM","Myanmar","SEARO",0,0,0,0
"2020-02-01","MM","Myanmar","SEARO",0,0,0,0
"2020-02-02","MM","Myanmar","SEARO",0,0,0,0
"2020-02-03","MM","Myanmar","SEARO",0,0,0,0
"2020-02-04","MM","Myanmar","SEARO",0,0,0,0
"2020-02-05","MM","Myanmar","SEARO",0,0,0,0
"2020-02-06","MM","Myanmar","SEARO",0,0,0,0
"2020-02-07","MM","Myanmar","SEARO",0,0,0,0
"2020-02-08","MM","Myanmar","SEARO",0,0,0,0
"2020-02-09","MM","Myanmar","SEARO",0,0,0,0
"2020-02-10","MM","Myanmar","SEARO",0,0,0,0
"2020-02-11","MM","Myanmar","SEARO",0,0,0,0
"2020-02-12","MM","Myanmar","SEARO",0,0,0,0
"2020-02-13","MM","Myanmar","SEARO",0,0,0,0
"2020-02-14","MM","Myanmar","SEARO",0,0,0,0
"2020-02-15","MM","Myanmar","SEARO",0,0,0,0
"2020-02-16","MM","Myanmar","SEARO",0,0,0,0
"2020-02-17","MM","Myanmar","SEARO",0,0,0,0
"2020-02-18","MM","Myanmar","SEARO",0,0,0,0
"2020-02-19","MM","Myanmar","SEARO",0,0,0,0
"2020-02-20","MM","Myanmar","SEARO",0,0,0,0
"2020-02-21","MM","Myanmar","SEARO",0,0,0,0
"2020-02-22","MM","Myanmar","SEARO",0,0,0,0
"2020-02-23","MM","Myanmar","SEARO",0,0,0,0
"2020-02-24","MM","Myanmar","SEARO",0,0,0,0
"2020-02-25","MM","Myanmar","SEARO",0,0,0,0
"2020-02-26","MM","Myanmar","SEARO",0,0,0,0
"2020-02-27","MM","Myanmar","SEARO",0,0,0,0
"2020-02-28","MM","Myanmar","SEARO",0,0,0,0
"2020-02-29","MM","Myanmar","SEARO",0,0,0,0
"2020-03-01","MM","Myanmar","SEARO",0,0,0,0
"2020-03-02","MM","Myanmar","SEARO",0,0,0,0
"2020-03-03","MM","Myanmar","SEARO",0,0,0,0
"2020-03-04","MM","Myanmar","SEARO",0,0,0,0
"2020-03-05","MM","Myanmar","SEARO",0,0,0,0
"2020-03-06","MM","Myanmar","SEARO",0,0,0,0
"2020-03-07","MM","Myanmar","SEARO",0,0,0,0
"2020-03-08","MM","Myanmar","SEARO",0,0,0,0
"2020-03-09","MM","Myanmar","SEARO",0,0,0,0
"2020-03-10","MM","Myanmar","SEARO",0,0,0,0
"2020-03-11","MM","Myanmar","SEARO",0,0,0,0
"2020-03-12","MM","Myanmar","SEARO",0,0,0,0
"2020-03-13","MM","Myanmar","SEARO",0,0,0,0
"2020-03-14","MM","Myanmar","SEARO",0,0,0,0
"2020-03-15","MM","Myanmar","SEARO",0,0,0,0
"2020-03-16","MM","Myanmar","SEARO",0,0,0,0
"2020-03-17","MM","Myanmar","SEARO",0,0,0,0
"2020-03-18","MM","Myanmar","SEARO",0,0,0,0
"2020-03-19","MM","Myanmar","SEARO",0,0,0,0
"2020-03-20","MM","Myanmar","SEARO",0,0,0,0
"2020-03-21","MM","Myanmar","SEARO",0,0,0,0
"2020-03-22","MM","Myanmar","SEARO",0,0,0,0
"2020-03-23","MM","Myanmar","SEARO",0,0,0,0
"2020-03-24","MM","Myanmar","SEARO",2,2,0,0
"2020-03-25","MM","Myanmar","SEARO",1,3,0,0
"2020-03-26","MM","Myanmar","SEARO",0,3,0,0
"2020-03-27","MM","Myanmar","SEARO",2,5,0,0
"2020-03-28","MM","Myanmar","SEARO",0,5,0,0
"2020-03-29","MM","Myanmar","SEARO",3,8,0,0
"2020-03-30","MM","Myanmar","SEARO",2,10,0,0
"2020-03-31","MM","Myanmar","SEARO",4,14,0,0
"2020-04-01","MM","Myanmar","SEARO",1,15,1,1
"2020-04-02","MM","Myanmar","SEARO",1,16,0,1
"2020-04-03","MM","Myanmar","SEARO",4,20,0,1
"2020-04-04","MM","Myanmar","SEARO",0,20,0,1
"2020-04-05","MM","Myanmar","SEARO",1,21,0,1
"2020-04-06","MM","Myanmar","SEARO",0,21,0,1
"2020-04-07","MM","Myanmar","SEARO",1,22,0,1
"2020-04-08","MM","Myanmar","SEARO",0,22,2,3
"2020-04-09","MM","Myanmar","SEARO",0,22,0,3
"2020-04-10","MM","Myanmar","SEARO",5,27,0,3
"2020-04-11","MM","Myanmar","SEARO",1,28,0,3
