"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-04","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-05","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-06","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-07","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-08","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-09","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-10","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-11","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-12","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-13","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-14","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-15","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-16","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-17","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-18","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-19","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-20","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-21","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-22","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-23","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-24","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-25","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-26","LK","Sri Lanka","SEARO",0,0,0,0
"2020-01-27","LK","Sri Lanka","SEARO",5,5,0,0
"2020-01-28","LK","Sri Lanka","SEARO",0,5,0,0
"2020-01-29","LK","Sri Lanka","SEARO",0,5,0,0
"2020-01-30","LK","Sri Lanka","SEARO",0,5,0,0
"2020-01-31","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-01","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-02","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-03","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-04","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-05","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-06","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-07","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-08","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-09","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-10","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-11","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-12","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-13","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-14","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-15","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-16","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-17","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-18","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-19","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-20","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-21","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-22","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-23","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-24","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-25","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-26","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-27","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-28","LK","Sri Lanka","SEARO",0,5,0,0
"2020-02-29","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-01","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-02","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-03","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-04","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-05","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-06","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-07","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-08","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-09","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-10","LK","Sri Lanka","SEARO",0,5,0,0
"2020-03-11","LK","Sri Lanka","SEARO",1,6,0,0
"2020-03-12","LK","Sri Lanka","SEARO",1,7,0,0
"2020-03-13","LK","Sri Lanka","SEARO",0,7,0,0
"2020-03-14","LK","Sri Lanka","SEARO",3,10,0,0
"2020-03-15","LK","Sri Lanka","SEARO",5,15,0,0
"2020-03-16","LK","Sri Lanka","SEARO",8,23,0,0
"2020-03-17","LK","Sri Lanka","SEARO",10,33,0,0
"2020-03-18","LK","Sri Lanka","SEARO",13,46,0,0
"2020-03-19","LK","Sri Lanka","SEARO",13,59,0,0
"2020-03-20","LK","Sri Lanka","SEARO",0,59,0,0
"2020-03-21","LK","Sri Lanka","SEARO",13,72,0,0
"2020-03-22","LK","Sri Lanka","SEARO",0,72,0,0
"2020-03-23","LK","Sri Lanka","SEARO",22,94,0,0
"2020-03-24","LK","Sri Lanka","SEARO",3,97,0,0
"2020-03-25","LK","Sri Lanka","SEARO",5,102,0,0
"2020-03-26","LK","Sri Lanka","SEARO",0,102,0,0
"2020-03-27","LK","Sri Lanka","SEARO",4,106,0,0
"2020-03-28","LK","Sri Lanka","SEARO",0,106,0,0
"2020-03-29","LK","Sri Lanka","SEARO",9,115,1,1
"2020-03-30","LK","Sri Lanka","SEARO",5,120,0,1
"2020-03-31","LK","Sri Lanka","SEARO",2,122,1,2
"2020-04-01","LK","Sri Lanka","SEARO",21,143,0,2
"2020-04-02","LK","Sri Lanka","SEARO",5,148,1,3
"2020-04-03","LK","Sri Lanka","SEARO",3,151,1,4
"2020-04-04","LK","Sri Lanka","SEARO",8,159,1,5
"2020-04-05","LK","Sri Lanka","SEARO",7,166,0,5
"2020-04-06","LK","Sri Lanka","SEARO",10,176,0,5
"2020-04-07","LK","Sri Lanka","SEARO",4,180,1,6
"2020-04-08","LK","Sri Lanka","SEARO",6,186,0,6
"2020-04-09","LK","Sri Lanka","SEARO",3,189,1,7
"2020-04-10","LK","Sri Lanka","SEARO",1,190,0,7
"2020-04-11","LK","Sri Lanka","SEARO",7,197,0,7
"2020-04-12","LK","Sri Lanka","SEARO",2,199,0,7
"2020-04-13","LK","Sri Lanka","SEARO",11,210,0,7
"2020-04-14","LK","Sri Lanka","SEARO",8,218,0,7
"2020-04-15","LK","Sri Lanka","SEARO",15,233,0,7
"2020-04-16","LK","Sri Lanka","SEARO",5,238,0,7
"2020-04-17","LK","Sri Lanka","SEARO",0,238,0,7
"2020-04-18","LK","Sri Lanka","SEARO",6,244,0,7
"2020-04-19","LK","Sri Lanka","SEARO",10,254,0,7
"2020-04-20","LK","Sri Lanka","SEARO",17,271,0,7
"2020-04-21","LK","Sri Lanka","SEARO",33,304,0,7
"2020-04-22","LK","Sri Lanka","SEARO",6,310,0,7
"2020-04-23","LK","Sri Lanka","SEARO",20,330,0,7
"2020-04-24","LK","Sri Lanka","SEARO",38,368,0,7
"2020-04-25","LK","Sri Lanka","SEARO",52,420,0,7
"2020-04-26","LK","Sri Lanka","SEARO",40,460,0,7
"2020-04-27","LK","Sri Lanka","SEARO",63,523,0,7
"2020-04-28","LK","Sri Lanka","SEARO",65,588,0,7
"2020-04-29","LK","Sri Lanka","SEARO",31,619,0,7
"2020-04-30","LK","Sri Lanka","SEARO",30,649,0,7
"2020-05-01","LK","Sri Lanka","SEARO",16,665,0,7
"2020-05-02","LK","Sri Lanka","SEARO",25,690,0,7
"2020-05-03","LK","Sri Lanka","SEARO",15,705,0,7
"2020-05-04","LK","Sri Lanka","SEARO",13,718,0,7
"2020-05-05","LK","Sri Lanka","SEARO",37,755,1,8
"2020-05-06","LK","Sri Lanka","SEARO",16,771,1,9
"2020-05-07","LK","Sri Lanka","SEARO",26,797,0,9
"2020-05-08","LK","Sri Lanka","SEARO",27,824,0,9
"2020-05-09","LK","Sri Lanka","SEARO",11,835,0,9
"2020-05-10","LK","Sri Lanka","SEARO",12,847,0,9
"2020-05-11","LK","Sri Lanka","SEARO",16,863,0,9
"2020-05-12","LK","Sri Lanka","SEARO",6,869,0,9
"2020-05-13","LK","Sri Lanka","SEARO",24,893,0,9
"2020-05-14","LK","Sri Lanka","SEARO",23,916,0,9
"2020-05-15","LK","Sri Lanka","SEARO",9,925,0,9
"2020-05-16","LK","Sri Lanka","SEARO",24,949,0,9
"2020-05-17","LK","Sri Lanka","SEARO",21,970,0,9
"2020-05-18","LK","Sri Lanka","SEARO",16,986,0,9
"2020-05-19","LK","Sri Lanka","SEARO",34,1020,0,9
"2020-05-20","LK","Sri Lanka","SEARO",7,1027,0,9
"2020-05-21","LK","Sri Lanka","SEARO",18,1045,0,9
"2020-05-22","LK","Sri Lanka","SEARO",15,1060,0,9
"2020-05-23","LK","Sri Lanka","SEARO",25,1085,0,9
"2020-05-24","LK","Sri Lanka","SEARO",33,1118,0,9
"2020-05-25","LK","Sri Lanka","SEARO",64,1182,0,9
"2020-05-26","LK","Sri Lanka","SEARO",96,1278,1,10
"2020-05-27","LK","Sri Lanka","SEARO",147,1425,0,10
"2020-05-28","LK","Sri Lanka","SEARO",78,1503,0,10
"2020-05-29","LK","Sri Lanka","SEARO",37,1540,0,10
"2020-05-30","LK","Sri Lanka","SEARO",26,1566,0,10
"2020-05-31","LK","Sri Lanka","SEARO",64,1630,0,10
"2020-06-01","LK","Sri Lanka","SEARO",3,1633,0,10
"2020-06-02","LK","Sri Lanka","SEARO",10,1643,1,11
"2020-06-03","LK","Sri Lanka","SEARO",40,1683,0,11
